Código Item|Descrição Item|Código Subitem|Descrição Subitem|Alíquota|Percentual de Dedução da Base de Cálculo Permitido|Permite Tributação Fora de Arapiraca
4|Serviços de saúde, assistência médica e congêneres.|408|Terapia ocupacional, fisioterapia e fonoaudiologia.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|409|Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|410|Nutrição.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|411|Obstetrícia.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|412|Odontologia.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|413|Ortóptica.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|414|Próteses sob encomenda.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|415|Psicanálise.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|416|Psicologia.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|417|Casas de repouso e de recuperação, creches, asilos e congêneres.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|418|Inseminação artificial, fertilização in vitro e congêneres.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|419|Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|420|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|421|Unidade de atendimento, assistência ou tratamento móvel e congêneres.|0,04|0,00%|Não
4|Serviços de saúde, assistência médica e congêneres.|422|Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres.  (Vide Lei Complementar nº 175, de 2020)|0,04|0,00%|Sim
4|Serviços de saúde, assistência médica e congêneres.|423|Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário.  (Vide Lei Complementar nº 175, de 2020)|0,04|0,00%|Sim
5|Serviços de medicina e assistência veterinária e congêneres.|501|Medicina veterinária e zootecnia.|0,05|0,00%|Não
5|Serviços de medicina e assistência veterinária e congêneres.|502|Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária.|0,05|0,00%|Não
5|Serviços de medicina e assistência veterinária e congêneres.|503|Laboratórios de análise na área veterinária.|0,05|0,00%|Não
5|Serviços de medicina e assistência veterinária e congêneres.|504|Inseminação artificial, fertilização in vitro e congêneres.|0,05|0,00%|Não
5|Serviços de medicina e assistência veterinária e congêneres.|505|Bancos de sangue e de órgãos e congêneres.|0,05|0,00%|Não
5|Serviços de medicina e assistência veterinária e congêneres.|506|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie.|0,05|0,00%|Não
5|Serviços de medicina e assistência veterinária e congêneres.|507|Unidade de atendimento, assistência ou tratamento móvel e congêneres.|0,05|0,00%|Não
5|Serviços de medicina e assistência veterinária e congêneres.|508|Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres.|0,05|0,00%|Não
5|Serviços de medicina e assistência veterinária e congêneres.|509|Planos de atendimento e assistência médico-veterinária.  (Vide Lei Complementar nº 175, de 2020)|0,05|0,00%|Sim
6|Serviços de cuidados pessoais, estética, atividades físicas e congêneres.|601|Barbearia, cabeleireiros, manicuros, pedicuros e congêneres.|0,05|Até 50% - Permitida dedução de até 50%, nos casos de Salão Parceiro.|Não
6|Serviços de cuidados pessoais, estética, atividades físicas e congêneres.|602|Esteticistas, tratamento de pele, depilação e congêneres.|0,05|0,00%|Não
6|Serviços de cuidados pessoais, estética, atividades físicas e congêneres.|603|Banhos, duchas, sauna, massagens e congêneres.|0,05|0,00%|Não
6|Serviços de cuidados pessoais, estética, atividades físicas e congêneres.|604|Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas.|0,05|0,00%|Não
6|Serviços de cuidados pessoais, estética, atividades físicas e congêneres.|605|Centros de emagrecimento, spa e congêneres.|0,05|0,00%|Não
6|Serviços de cuidados pessoais, estética, atividades físicas e congêneres.|606|plicação de tatuagens, piercings e congêneres.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|701|Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|702|Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes, inclusive sondagem, perfuração de poços, escavação, drenagem e irrigação, terraplanagem, pavimentação, concretagem e a instalação e montagem de produtos, peças e equipamentos (exceto o fornecimento de mercadorias produzidas pelo prestador de serviços fora do local da prestação dos serviços, que fica sujeito ao ICMS).|0,05|Até 50% - Permitida dedução de até 50% do valor da base de cálculo do serviço.|Sim
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|703|Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|704|Demolição.|0,05|0,00%|Sim
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio|705|Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS).|0,05|Até 40% - Permitida dedução de até 40%,  nos casos de recapeamento e pavimentação. Até 30% - Permitida dedução de até 30%, exceto nos casos de recapeamento, pavimentação ou terraplenagem. Até 10% - Permitida dedução de até 10%, nos casos de terraplenagem.|Sim
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|706|Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|707|Recuperação, raspagem, polimento e lustração de pisos e congêneres.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|708|Calafetação.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|709|Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer.|0,05|0,00%|Sim
7|Serviços relativos a engenharia, arquitetura, geologia,|710|Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres.|0,05|0,00%|Sim
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|711|Decoração e jardinagem, inclusive corte e poda de árvores.|0,05|0,00%|Sim
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|712|Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos.|0,05|0,00%|Sim
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|713|Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|714|(VETADO)|0|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|715|(VETADO)|0|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|716|Florestamento, reflorestamento, semeadura, adubação, reparação de solo, plantio, silagem, colheita, corte e descascamento de árvores, silvicultura, exploração florestal e dos serviços congêneres indissociáveis da formação, manutenção e colheita de florest|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|717|Escoramento, contenção de encostas e serviços congêneres.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|718|Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio|719|Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo.|0,05|0,00%|Sim
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|720|Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|721|Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais.|0,05|0,00%|Não
7|Serviços relativos a engenharia, arquitetura, geologia, urbanismo, construção civil, manutenção, limpeza, meio ambiente, saneamento e congêneres.|722|Nucleação e bombardeamento de nuvens e congêneres.|0,05|0,00%|Não
8|Serviços de educação, ensino, orientação pedagógica e educacional, instrução, treinamento e avaliação pessoal de qualquer grau ou natureza.|801|Ensino regular pré-escolar, fundamental, médio e superior.|0,25|0,00%|Não
8|Serviços de educação, ensino, orientação pedagógica e educacional,|802|Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza.|0,25|0,00%|Não
9|Serviços relativos a hospedagem, turismo, viagens e congêneres.|901|Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço (o valor da alimentação e gorjeta, quando incluído no preço da diária, fica sujeito ao Imposto Sobre Serviços).|0,05|0,00%|Não
9|Serviços relativos a hospedagem, turismo, viagens e congêneres.|902|Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres.|0,05|0,00%|Não
9|Serviços relativos a hospedagem, turismo, viagens e congêneres.|903|Guias de turismo.|0,05|0,00%|Não
10|Serviços de intermediação e congêneres.|1001|Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada.|0,05|0,00%|Não
10|Serviços de intermediação e congêneres.|1002|Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer.|0,05|0,00%|Não
10|Serviços de intermediação e congêneres.|1003|Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária.|0,05|0,00%|Não
10|Serviços de intermediação e congêneres.|1004|Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring).|0,05|0,00%|Não
10|Serviços de intermediação e congêneres.|1005|Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios.|0,05|0,00%|Não
10|Serviços de intermediação e congêneres.|1006|Agenciamento marítimo.|0,05|0,00%|Não
10|Serviços de intermediação e congêneres.|1007|Agenciamento de notícias.|0,05|0,00%|Não
10|Serviços de intermediação e congêneres.|1008|Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios.|0,05|0,00%|Não
10|Serviços de intermediação e congêneres.|1009|Representação de qualquer natureza, inclusive comercial.|0,02|0,00%|Não
10|Serviços de intermediação e congêneres.|1010|Distribuição de bens de terceiros.|0,05|0,00%|Não
11|Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.|1101|Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações.|0,05|0,00%|Não
11|Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.|1102|Vigilância, segurança ou monitoramento de bens, pessoas e semoventes.|0,05|0,00%|Sim
11|Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.|1103|Escolta, inclusive de veículos e cargas.|0,05|0,00%|Não
11|Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.|1104|Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie.|0,05|0,00%|Sim
11|Serviços de guarda, estacionamento, armazenamento, vigilância e congêneres.|1105|Serviços relacionados ao monitoramento e rastreamento a distância, em qualquer via ou local, de veículos, cargas, pessoas e semoventes em circulação ou movimento, realizados por meio de telefonia móvel, transmissão de satélites, rádio ou qualquer outro meio, inclusive pelas empresas de Tecnologia da Informação Veicular, independentemente de o prestador de serviços ser proprietário ou não da infraestrutura de telecomunicações que utiliza.         (Incluído pela Lei Complementar nº 183, de 2021)|0,05|0,00%|Não
12|Serviços de diversões, lazer,|1201|Espetáculos teatrais.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1202|Exibições cinematográficas.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1203|Espetáculos circenses.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1204|Programas de auditório.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1205|Parques de diversões, centros de lazer e congêneres.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1206|Boates, taxi-dancing e congêneres.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1207|Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1208|Feiras, exposições, congressos e congêneres.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1209|Bilhares, boliches e diversões eletrônicas ou não.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1210|Corridas e competições de animais.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1211|Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1212|Execução de música.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1213|Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres.|0,05|0,00%|Não
12|Serviços de diversões, lazer, entretenimento e congêneres.|1214|Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1215|Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1216|Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres.|0,05|0,00%|Sim
12|Serviços de diversões, lazer, entretenimento e congêneres.|1217|Recreação e animação, inclusive em festas e eventos de qualquer natureza.|0,05|0,00%|Sim
13|Serviços relativos a fonografia, fotografia, cinematografia e reprografia.|1301|(VETADO)|0,05|0,00%|Não
13|Serviços relativos a fonografia, fotografia, cinematografia e reprografia.|1302|Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres.|0,05|0,00%|Não
13|Serviços relativos a fonografia, fotografia, cinematografia e reprografia.|1303|Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres.|0,05|0,00%|Não
13|Serviços relativos a fonografia, fotografia, cinematografia e reprografia.|1304|Reprografia, microfilmagem e digitalização.|0,05|0,00%|Não
13|Serviços relativos a fonografia, fotografia, cinematografia e reprografia.|1305|Composição gráfica, inclusive confecção de impressos gráficos, fotocomposição, clicheria, zincografia, litografia e fotolitografia, exceto se destinados a posterior operação de comercialização ou industrialização, ainda que incorporados, de qualquer forma|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1401|Lubrificação, limpeza, lustração, revisão, carga e recarga, conserto, restauração, blindagem, manutenção e conservação de máquinas, veículos, aparelhos, equipamentos, motores, elevadores ou de qualquer objeto (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1402|Assistência técnica.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1403|Recondicionamento de motores (exceto peças e partes empregadas, que ficam sujeitas ao ICMS).|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1404|Recauchutagem ou regeneração de pneus.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1405|Restauração, recondicionamento, acondicionamento, pintura, beneficiamento, lavagem, secagem, tingimento, galvanoplastia, anodização, corte, recorte, plastificação, costura, acabamento, polimento e congêneres de objetos quaisquer.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1406|Instalação e montagem de aparelhos, máquinas e equipamentos, inclusive montagem industrial, prestados ao usuário final, exclusivamente com material por ele fornecido.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1407|Colocação de molduras e congêneres.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1408|Encadernação, gravação e douração de livros, revistas e congêneres.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1409|Alfaiataria e costura, quando o material for fornecido pelo usuário final, exceto aviamento.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1410|Tinturaria e lavanderia.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1411|Tapeçaria e reforma de estofamentos em geral.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1412|Funilaria e lanternagem.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1413|Carpintaria e serralheria.|0,05|0,00%|Não
14|Serviços relativos a bens de terceiros.|1414|Guincho intramunicipal, guindaste e içamento.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1501|Administração de fundos quaisquer, de consórcio, de cartão de crédito ou débito e congêneres, de carteira de clientes, de cheques pré-datados e congêneres.     (Vide Lei Complementar nº 175, de 2020)|0,05|0,00%|Sim
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1502|Abertura de contas em geral, inclusive conta-corrente, conta de investimentos e aplicação e caderneta de poupança, no País e no exterior, bem como a manutenção das referidas contas ativas e inativas.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1503|Locação e manutenção de cofres particulares, de terminais eletrônicos, de terminais de atendimento e de bens e equipamentos em geral.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1504|Fornecimento ou emissão de atestados em geral, inclusive atestado de idoneidade, atestado de capacidade financeira e congêneres.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1505|Cadastro, elaboração de ficha cadastral, renovação cadastral e congêneres, inclusão ou exclusão no Cadastro de Emitentes de Cheques sem Fundos – CCF ou em quaisquer outros bancos cadastrais.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1506|Emissão, reemissão e fornecimento de avisos, comprovantes e documentos em geral; abono de firmas; coleta e entrega de documentos, bens e valores; comunicação com outra agência ou com a administração central; licenciamento eletrônico de veículos; transferência de veículos; agenciamento fiduciário ou depositário; devolução de bens em custódia.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1507|Acesso, movimentação, atendimento e consulta a contas em geral, por qualquer meio ou processo, inclusive por telefone, fac-símile, internet e telex, acesso a terminais de atendimento, inclusive vinte e quatro horas; acesso a outro banco e a rede compartilhada; fornecimento de saldo, extrato e demais informações relativas a contas em geral, por qualquer meio ou processo.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro,|1508|Emissão, reemissão, alteração, cessão, substituição, cancelamento e registro de contrato de crédito; estudo, análise e avaliação de operações de crédito; emissão, concessão, alteração ou|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1509|Arrendamento mercantil (leasing) de quaisquer bens, inclusive cessão de direitos e obrigações, substituição de garantia, alteração, cancelamento e registro de contrato, e demais serviços relacionados ao arrendamento mercantil (leasing).  (Vide Lei Complementar nº 175, de 2020)|0,05|0,00%|Sim
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1510|Serviços relacionados a cobranças, recebimentos ou pagamentos em geral, de títulos quaisquer, de contas ou carnês, de câmbio, de tributos e por conta de terceiros, inclusive os efetuados por meio eletrônico, automático ou por máquinas de atendimento; fornecimento de posição de cobrança, recebimento ou pagamento; emissão de carnês, fichas de compensação, impressos e documentos em geral.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1511|Devolução de títulos, protesto de títulos, sustação de protesto, manutenção de títulos, reapresentação de títulos, e demais serviços a eles relacionados.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras|1512|Custódia em geral, inclusive de títulos e valores mobiliários.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1513|Serviços relacionados a operações de câmbio em geral, edição, alteração, prorrogação, cancelamento e baixa de contrato de câmbio; emissão de registro de exportação ou de crédito; cobrança ou depósito no exterior; emissão, fornecimento e cancelamento de cheques de viagem; fornecimento, transferência, cancelamento e demais serviços relativos a carta de crédito de importação, exportação e garantias recebidas; envio e recebimento de mensagens em geral relacionadas a operações de câmbio.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1514|Fornecimento, emissão, reemissão, renovação e manutenção de cartão magnético, cartão de crédito, cartão de débito, cartão salário e congêneres.|0,05|0,00%|Não
15|Serviços relacionados ao setor bancário ou financeiro, inclusive aqueles prestados por instituições financeiras autorizadas a funcionar pela União ou por quem de direito.|1515|Compensação de cheques e títulos quaisquer; serviços relacionados a depósito, inclusive depósito identificado, a saque de contas quaisquer, por qualquer meio ou processo, inclusive em terminais eletrônicos e de atendimento.|0,05|0,00%|Não
